^AthleteID^|^ActivityID^|^StartTime^|^TotalElapsedTime^|^TotalDistanceMeters^|^MaxSpeedMPH^|^MeasuredTime^|^Latitude^|^Longitude^|^AltitudeMeters^|^DistanceMeters^|^CurrentSpeedMPH^|^CurrentGrade^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:07^|^47.6623^|^-122.044332^|^111.2^|^239.2^|^10.3^|^1.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:08^|^47.662304^|^-122.044275^|^111.2^|^243.5^|^9.8^|^2.3^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:09^|^47.662306^|^-122.044215^|^111.4^|^248.1^|^9.4^|^2.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:10^|^47.662307^|^-122.044152^|^111.6^|^252.8^|^9.6^|^1.1^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:11^|^47.662305^|^-122.044091^|^111.6^|^257.4^|^9.8^|^-0.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:12^|^47.662304^|^-122.044031^|^111.4^|^261.8^|^10.1^|^-1.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:13^|^47.662303^|^-122.043975^|^111.3^|^266.1^|^10.1^|^-1.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:14^|^47.662302^|^-122.04392^|^111.3^|^270.2^|^9.8^|^-0.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:15^|^47.662304^|^-122.043862^|^111.4^|^274.5^|^9.6^|^-1.1^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:16^|^47.662306^|^-122.043806^|^111.3^|^278.7^|^9.6^|^-2.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:17^|^47.66231^|^-122.043738^|^111.1^|^283.9^|^9.8^|^-4.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:18^|^47.662321^|^-122.043648^|^110.8^|^290.8^|^11.0^|^-5.1^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:19^|^47.662328^|^-122.043561^|^110.4^|^297.4^|^12.1^|^-4.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:20^|^47.662335^|^-122.04347^|^110.0^|^304.2^|^13.2^|^-3.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:21^|^47.662342^|^-122.04338^|^109.9^|^311.0^|^14.5^|^-2.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:22^|^47.662346^|^-122.043292^|^109.8^|^317.6^|^15.0^|^-1.5^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:23^|^47.662348^|^-122.043205^|^109.7^|^324.2^|^15.0^|^-1.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:24^|^47.662343^|^-122.04312^|^109.6^|^330.6^|^14.8^|^-0.8^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:25^|^47.662335^|^-122.043039^|^109.6^|^336.7^|^14.5^|^-0.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:26^|^47.662331^|^-122.042968^|^109.6^|^342.1^|^13.9^|^-0.5^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:27^|^47.662326^|^-122.042901^|^109.6^|^347.2^|^13.2^|^0.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:28^|^47.662315^|^-122.042828^|^109.5^|^352.8^|^12.8^|^0.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:29^|^47.662306^|^-122.04275^|^109.6^|^358.7^|^12.5^|^0.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:30^|^47.6623^|^-122.042668^|^109.8^|^364.9^|^12.5^|^0.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:31^|^47.662296^|^-122.042582^|^109.7^|^371.4^|^13.2^|^-1.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:32^|^47.662291^|^-122.042496^|^109.5^|^377.9^|^13.6^|^-2.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:33^|^47.662286^|^-122.04242^|^109.2^|^383.6^|^13.9^|^-2.1^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:34^|^47.662282^|^-122.042344^|^109.1^|^389.3^|^13.6^|^-0.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:35^|^47.662277^|^-122.04226^|^109.2^|^395.7^|^13.9^|^0.8^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:36^|^47.662273^|^-122.042176^|^109.4^|^402.0^|^13.6^|^0.8^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:37^|^47.662272^|^-122.042097^|^109.4^|^407.9^|^13.4^|^0.8^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:38^|^47.662271^|^-122.042018^|^109.3^|^413.9^|^13.6^|^0.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:39^|^47.662268^|^-122.041938^|^109.4^|^419.9^|^13.6^|^0.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:40^|^47.662265^|^-122.041859^|^109.4^|^425.8^|^13.4^|^1.3^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:41^|^47.662265^|^-122.041782^|^109.5^|^431.6^|^13.2^|^1.3^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:42^|^47.662265^|^-122.041705^|^109.6^|^437.4^|^13.2^|^1.8^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:43^|^47.662267^|^-122.041632^|^109.7^|^442.9^|^13.0^|^1.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:44^|^47.662271^|^-122.041557^|^109.8^|^448.6^|^12.8^|^1.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:45^|^47.66228^|^-122.041477^|^109.9^|^454.6^|^13.0^|^1.2^
